sha,date,chrome-version,chrome,firefox-version,firefox,ladybird-version,ladybird,safari-version,safari,servo-version,servo
7943e5ec3d34576e69011e20cde825d3c2d64013,2024-09-28,131.0.6744.0,184.7943813251874,132.0a1,208.73351956359645,1.0,5837.037145693161,203 preview,745.5383067777667,Servo 0.0.1-fa05214,3033.2217687069706
03c258eab4bb0dc037d0b3822049cada69a49427,2024-09-29,131.0.6745.0,186.9515001492949,132.0a1,208.77518623026313,1.0,5849.700757641216,203 preview,747.386366043813,Servo 0.0.1-c1931ee,3011.4899705581392
87eb4ef23c89602c155882f6d6814c44d142c468,2024-09-30,131.0.6749.0,186.79287637807062,133.0a1,208.22317431170188,1.0,5849.327237315192,203 preview,748.2869814284285,Servo 0.0.1-c1931ee,3019.644327520219
1796ea251db6499e4d41755b412feaea495f2455,2024-10-02,131.0.6753.0,189.12352081692723,133.0a1,212.56254668035817,1.0,5844.234895740472,204 preview,742.0059394032369,Servo 0.0.1-022a95a,3156.317069610493
a18606c329a8aeb71906b885904a67ed5e7a03e7,2024-10-03,131.0.6755.0,188.14145462730292,133.0a1,209.01785227214165,1.0,5837.43964470589,204 preview,745.7491589330909,Servo 0.0.1-e534c7d,3183.658816371245
f36843386427263dafecbbc993fc184c09c38239,2024-10-04,131.0.6757.0,186.91728757295942,133.0a1,212.48259487389828,1.0,5726.994099686149,204 preview,750.2377652303275,Servo 0.0.1-c7a4e4f,3160.1595349313757
9448ab31f11e671a8b069e3407b4f6279bea698e,2024-10-05,131.0.6758.0,188.68439857333095,133.0a1,211.77723773104117,1.0,5722.455831381236,204 preview,755.5231368902887,Servo 0.0.1-e1eca71,3176.3769246399247
11c69780a675c377b5bb81ed4e862a31ff2d2111,2024-10-06,131.0.6760.0,189.64172448550323,133.0a1,210.42869438877128,1.0,5711.781860717052,204 preview,753.9472714124937,Servo 0.0.1-20eb927,3186.32662682976
f27723cf73a143a0ffea126c01095f4a32238d17,2024-10-07,131.0.6763.0,188.54040600112023,133.0a1,213.24345075643464,1.0,5684.858177819459,204 preview,756.0758148325016,Servo 0.0.1-20eb927,3189.133644662884
9eab5122732d1b0178b6741d69b84616350cfb92,2024-10-08,131.0.6765.0,184.90140893136382,133.0a1,212.90819465018134,1.0,5709.440116659913,205 preview,755.7611702796992,Servo 0.0.1-f8933a5,3208.7158227236414
98327f00c85266f88ebca52037314cf8ceea6329,2024-10-09,131.0.6767.0,193.15201341805,133.0a1,214.09466844542925,1.0,5706.458512772451,205 preview,757.3467948053292,Servo 0.0.1-d200557,3201.3564559741726
0ca2856475e2d067f7f2523ffb30de965c28d14a,2024-10-10,131.0.6769.0,194.23728378479566,133.0a1,212.03293408439217,1.0,5698.550398054171,205 preview,755.8887454159221,Servo 0.0.1-a2b2701,3221.2963686210082
280d04eaabed08d430d12c8af971b0b56f32310f,2024-10-11,131.0.6770.0,196.80325787903396,133.0a1,212.78519871771687,1.0,5699.907709531823,205 preview,760.1887504567053,Servo 0.0.1-0c47201,3236.6276173225524
